longitude,latitude,species,loc
-90.079754,-0.813698,Microlophus barringtonensis,island
-90.065832,-0.800037,Microlophus barringtonensis,island
-90.065334,-0.819877,Microlophus barringtonensis,island
-90.065334,-0.819877,Microlophus barringtonensis,island
-90.065334,-0.819877,Microlophus barringtonensis,island
-90.065334,-0.819877,Microlophus barringtonensis,island
-90.061422,-0.80231,Microlophus barringtonensis,island
-90.061422,-0.80231,Microlophus barringtonensis,island
-90.061422,-0.80231,Microlophus barringtonensis,island
-90.060687,-0.812701,Microlophus barringtonensis,island
-90.060687,-0.812701,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060562,-0.82,Microlophus barringtonensis,island
-90.060528,-0.820564,Microlophus barringtonensis,island
-90.058333,-0.837222,Microlophus barringtonensis,island
-90.058333,-0.837222,Microlophus barringtonensis,island
-90.058333,-0.837222,Microlophus barringtonensis,island
